,Name,Applicants total,Admissions total,Enrolled total,Percent of freshmen submitting SAT scores,Percent of freshmen submitting ACT scores,SAT Critical Reading 25th percentile score,SAT Critical Reading 75th percentile score,SAT Math 25th percentile score,SAT Math 75th percentile score,SAT Writing 25th percentile score,SAT Writing 75th percentile score,ACT Composite 25th percentile score,ACT Composite 75th percentile score,"Estimated enrollment, total","Estimated enrollment, full time","Estimated enrollment, part time","Estimated undergraduate enrollment, total","Estimated undergraduate enrollment, full time","Estimated undergraduate enrollment, part time","Estimated freshman undergraduate enrollment, total","Estimated freshman enrollment, full time","Estimated freshman enrollment, part time","Estimated graduate enrollment, total","Estimated graduate enrollment, full time","Estimated graduate enrollment, part time",Number of students receiving an Associate's degree,Percent admitted - total,Admissions yield - total,"Tuition and fees, 2010-11","Tuition and fees, 2011-12","Tuition and fees, 2012-13","Tuition and fees, 2013-14",Total price for in-state students living on campus 2013-14,Total price for out-of-state students living on campus 2013-14,State abbreviation,FIPS state code,Geographic region,Sector of institution,Level of institution,Control of institution,Historically Black College or University,Tribal college,Degree of urbanization (Urban-centric locale),Carnegie Classification 2010: Basic,Total  enrollment,Full-time enrollment,Part-time enrollment,Undergraduate enrollment,Graduate enrollment,Full-time undergraduate enrollment,Part-time undergraduate enrollment,Percent of total enrollment that are American Indian or Alaska Native,Percent of total enrollment that are Asian,Percent of total enrollment that are Black or African American,Percent of total enrollment that are Hispanic/Latino,Percent of total enrollment that are Native Hawaiian or Other Pacific Islander,Percent of total enrollment that are White,Percent of total enrollment that are two or more races,Percent of total enrollment that are Race/ethnicity unknown,Percent of total enrollment that are Nonresident Alien,Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander,Percent of total enrollment that are women,Percent of undergraduate enrollment that are American Indian or Alaska Native,Percent of undergraduate enrollment that are Asian,Percent of undergraduate enrollment that are Black or African American,Percent of undergraduate enrollment that are Hispanic/Latino,Percent of undergraduate enrollment that are Native Hawaiian or Other Pacific Islander,Percent of undergraduate enrollment that are White,Percent of undergraduate enrollment that are two or more races,Percent of undergraduate enrollment that are Race/ethnicity unknown,Percent of undergraduate enrollment that are Nonresident Alien,Percent of undergraduate enrollment that are Asian/Native Hawaiian/Pacific Islander,Percent of undergraduate enrollment that are women,Percent of graduate enrollment that are American Indian or Alaska Native,Percent of graduate enrollment that are Asian,Percent of graduate enrollment that are Black or African American,Percent of graduate enrollment that are Hispanic/Latino,Percent of graduate enrollment that are Native Hawaiian or Other Pacific Islander,Percent of graduate enrollment that are White,Percent of graduate enrollment that are two or more races,Percent of graduate enrollment that are Race/ethnicity unknown,Percent of graduate enrollment that are Nonresident Alien,Percent of graduate enrollment that are Asian/Native Hawaiian/Pacific Islander,Percent of graduate enrollment that are women,Number of first-time undergraduates - in-state,Percent of first-time undergraduates - in-state,Number of first-time undergraduates - out-of-state,Percent of first-time undergraduates - out-of-state,Number of first-time undergraduates - foreign countries,Percent of first-time undergraduates - foreign countries,Number of first-time undergraduates - residence unknown,Percent of first-time undergraduates - residence unknown,"Graduation rate - Bachelor degree within 4 years, total","Graduation rate - Bachelor degree within 5 years, total","Graduation rate - Bachelor degree within 6 years, total",Percent of freshmen receiving any financial aid,"Percent of freshmen receiving federal, state, local or institutional grant aid",Percent of freshmen  receiving federal grant aid,Percent of freshmen receiving Pell grants,Percent of freshmen receiving other federal grant aid,Percent of freshmen receiving state/local grant aid,Percent of freshmen receiving institutional grant aid,Percent of freshmen receiving student loan aid,Percent of freshmen receiving federal student loans,Percent of freshmen receiving other loan aid,Endowment assets (year end) per FTE enrollment (GASB),Endowment assets (year end) per FTE enrollment (FASB)
65,California Lutheran University,6920.0,3323.0,540.0,84.0,42.0,500.0,590.0,510.0,613.0,,,22.0,26.0,4282.0,3740.0,542.0,2888.0,2717.0,171.0,540.0,540.0,0.0,1394.0,1023.0,371.0,0.0,48.0,16.0,31000.0,32860.0,34360.0,35720.0,52577.0,52577.0,California,California,Far West AK CA HI NV OR WA,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,City: Midsize,Master's Colleges and Universities (larger programs),4282.0,3740.0,542.0,2888.0,1394.0,2717.0,171.0,1.0,6.0,4.0,23.0,1.0,48.0,2.0,4.0,12.0,6.0,56.0,1.0,6.0,4.0,25.0,1.0,52.0,2.0,4.0,4.0,7.0,55.0,0.0,4.0,3.0,18.0,0.0,40.0,2.0,5.0,28.0,4.0,60.0,436.0,81.0,92.0,17.0,12.0,2.0,0.0,0.0,61.0,69.0,70.0,98.0,98.0,23.0,23.0,4.0,20.0,97.0,59.0,59.0,4.0,,14701.0
66,California Polytechnic State University-San Luis Obispo,36941.0,11537.0,3635.0,88.0,62.0,550.0,650.0,590.0,690.0,,,25.0,30.0,19693.0,18758.0,935.0,18867.0,18169.0,698.0,5070.0,5061.0,9.0,826.0,589.0,237.0,0.0,31.0,32.0,6480.0,7911.0,8043.0,8724.0,24285.0,35445.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,Suburb: Small,Master's Colleges and Universities (larger programs),19703.0,18775.0,928.0,18739.0,964.0,18058.0,681.0,0.0,11.0,1.0,15.0,0.0,60.0,7.0,5.0,2.0,11.0,45.0,0.0,11.0,1.0,15.0,0.0,59.0,7.0,5.0,2.0,12.0,45.0,0.0,8.0,1.0,13.0,0.0,62.0,4.0,9.0,3.0,8.0,47.0,4127.0,86.0,619.0,13.0,27.0,1.0,0.0,0.0,29.0,61.0,70.0,50.0,41.0,14.0,14.0,12.0,25.0,31.0,29.0,29.0,2.0,10629.0,
67,Alliant International University,128.0,63.0,28.0,,,,,,,,,,,3502.0,2040.0,1462.0,260.0,172.0,88.0,28.0,26.0,2.0,3242.0,1868.0,1374.0,0.0,49.0,44.0,,,15190.0,15816.0,29986.0,29986.0,California,California,Far West AK CA HI NV OR WA,"Private not-for-profit, 4-year or above",Four or more years,Private not-for-profit,No,No,City: Large,Doctoral/Research Universities,4201.0,2038.0,2163.0,917.0,3284.0,179.0,738.0,0.0,6.0,6.0,20.0,0.0,40.0,4.0,18.0,5.0,6.0,70.0,0.0,2.0,6.0,33.0,0.0,9.0,1.0,44.0,5.0,2.0,56.0,0.0,7.0,7.0,16.0,0.0,49.0,5.0,11.0,5.0,7.0,74.0,,,,,,,,,,,,75.0,75.0,75.0,75.0,75.0,0.0,50.0,75.0,75.0,0.0,,414.0
68,California State University-Bakersfield,6630.0,4393.0,1328.0,90.0,24.0,390.0,500.0,400.0,520.0,,,15.0,22.0,8371.0,7219.0,1152.0,7242.0,6473.0,769.0,1342.0,1323.0,19.0,1129.0,746.0,383.0,0.0,66.0,30.0,5314.0,6682.0,6709.0,6775.0,21186.0,32346.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,City: Large,Master's Colleges and Universities (larger programs),8371.0,7190.0,1181.0,7350.0,1021.0,6519.0,831.0,1.0,6.0,6.0,47.0,0.0,21.0,3.0,12.0,2.0,6.0,61.0,1.0,6.0,6.0,49.0,0.0,19.0,3.0,12.0,3.0,7.0,61.0,1.0,5.0,5.0,35.0,0.0,34.0,3.0,13.0,2.0,6.0,67.0,1314.0,98.0,10.0,1.0,18.0,1.0,0.0,0.0,15.0,32.0,39.0,81.0,74.0,64.0,64.0,6.0,47.0,60.0,35.0,35.0,1.0,2668.0,
69,California State University-Stanislaus,5763.0,4158.0,1109.0,86.0,35.0,400.0,510.0,410.0,520.0,,,16.0,22.0,8529.0,6965.0,1564.0,7738.0,6544.0,1194.0,1227.0,1184.0,43.0,791.0,421.0,370.0,0.0,72.0,27.0,5302.0,6582.0,6582.0,6491.0,22433.0,33593.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,Suburb: Small,Master's Colleges and Universities (larger programs),8917.0,7256.0,1661.0,7754.0,1163.0,6547.0,1207.0,0.0,11.0,3.0,44.0,1.0,29.0,4.0,7.0,2.0,11.0,65.0,0.0,11.0,3.0,45.0,1.0,28.0,4.0,6.0,2.0,12.0,64.0,0.0,6.0,3.0,37.0,0.0,36.0,3.0,12.0,2.0,6.0,72.0,1218.0,100.0,4.0,0.0,2.0,0.0,0.0,0.0,18.0,41.0,52.0,82.0,73.0,60.0,60.0,9.0,62.0,53.0,35.0,35.0,0.0,1455.0,
70,California State University-San Bernardino,12239.0,7137.0,2448.0,95.0,37.0,390.0,490.0,400.0,510.0,,,16.0,20.0,18398.0,15156.0,3242.0,16630.0,14499.0,2131.0,2358.0,2319.0,39.0,1768.0,657.0,1111.0,0.0,58.0,34.0,5049.0,6518.0,6327.0,6550.0,20377.0,31537.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,City: Midsize,Master's Colleges and Universities (larger programs),18398.0,15213.0,3185.0,16191.0,2207.0,14299.0,1892.0,0.0,6.0,7.0,52.0,0.0,19.0,3.0,6.0,6.0,6.0,62.0,0.0,6.0,7.0,55.0,0.0,17.0,3.0,5.0,6.0,7.0,61.0,0.0,4.0,7.0,34.0,0.0,29.0,2.0,14.0,9.0,5.0,66.0,2304.0,98.0,11.0,0.0,43.0,2.0,0.0,0.0,9.0,29.0,41.0,85.0,73.0,67.0,67.0,4.0,55.0,60.0,44.0,43.0,1.0,1353.0,
71,California State Polytechnic University-Pomona,28143.0,14686.0,3120.0,95.0,27.0,460.0,570.0,490.0,620.0,,,20.0,26.0,22501.0,18996.0,3505.0,20943.0,18409.0,2534.0,3257.0,3169.0,88.0,1558.0,587.0,971.0,0.0,52.0,21.0,4807.0,6106.0,6125.0,6350.0,22571.0,33731.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,Suburb: Large,Master's Colleges and Universities (larger programs),22501.0,18995.0,3506.0,20952.0,1549.0,18410.0,2542.0,0.0,24.0,3.0,36.0,0.0,22.0,4.0,5.0,5.0,25.0,44.0,0.0,25.0,3.0,37.0,0.0,22.0,4.0,5.0,4.0,25.0,43.0,0.0,17.0,3.0,28.0,1.0,29.0,2.0,11.0,9.0,18.0,53.0,3206.0,98.0,24.0,1.0,27.0,1.0,0.0,0.0,10.0,34.0,52.0,68.0,53.0,43.0,43.0,3.0,37.0,36.0,43.0,43.0,3.0,3819.0,
72,California State University-Chico,17215.0,12327.0,2714.0,90.0,36.0,450.0,550.0,460.0,570.0,,,19.0,24.0,16360.0,14964.0,1396.0,15296.0,14213.0,1083.0,2342.0,2318.0,24.0,1064.0,751.0,313.0,0.0,72.0,22.0,5620.0,6890.0,6890.0,6972.0,22362.0,33522.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,City: Small,Master's Colleges and Universities (larger programs),16356.0,14960.0,1396.0,15290.0,1066.0,14207.0,1083.0,1.0,6.0,2.0,22.0,0.0,52.0,5.0,9.0,4.0,6.0,53.0,1.0,6.0,2.0,23.0,0.0,52.0,5.0,8.0,4.0,6.0,52.0,1.0,3.0,1.0,13.0,0.0,57.0,4.0,13.0,8.0,3.0,68.0,2271.0,97.0,24.0,1.0,45.0,2.0,0.0,0.0,17.0,47.0,56.0,63.0,46.0,37.0,36.0,7.0,34.0,33.0,45.0,44.0,2.0,2401.0,
73,California State University-Dominguez Hills,14742.0,8472.0,1214.0,80.0,21.0,380.0,470.0,380.0,470.0,,,15.0,19.0,14670.0,9599.0,5071.0,12423.0,8565.0,3858.0,1556.0,1460.0,96.0,2247.0,1034.0,1213.0,0.0,57.0,14.0,4849.0,6095.0,6095.0,6100.0,21286.0,32446.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,City: Small,Master's Colleges and Universities (larger programs),14670.0,9599.0,5071.0,12481.0,2189.0,8574.0,3907.0,0.0,10.0,16.0,50.0,0.0,12.0,3.0,6.0,2.0,10.0,66.0,0.0,10.0,17.0,53.0,0.0,10.0,3.0,5.0,2.0,10.0,64.0,1.0,13.0,15.0,33.0,0.0,24.0,3.0,9.0,2.0,14.0,75.0,1551.0,100.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,29.0,88.0,78.0,74.0,74.0,6.0,35.0,67.0,37.0,37.0,0.0,1234.0,
74,California State University-Fresno,16242.0,9444.0,3139.0,89.0,39.0,400.0,510.0,410.0,530.0,,,16.0,22.0,23060.0,19511.0,3549.0,20293.0,17569.0,2724.0,3266.0,3166.0,100.0,2767.0,1942.0,825.0,0.0,58.0,33.0,4879.0,6263.0,6228.0,6287.0,20682.0,31842.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,City: Large,Master's Colleges and Universities (larger programs),23060.0,19511.0,3549.0,20295.0,2765.0,17571.0,2724.0,0.0,15.0,4.0,41.0,0.0,26.0,3.0,7.0,4.0,15.0,58.0,0.0,16.0,4.0,42.0,0.0,25.0,3.0,6.0,3.0,16.0,57.0,0.0,11.0,4.0,32.0,0.0,35.0,2.0,9.0,7.0,11.0,66.0,3190.0,98.0,22.0,1.0,53.0,2.0,0.0,0.0,14.0,36.0,49.0,80.0,72.0,62.0,62.0,5.0,58.0,50.0,30.0,30.0,1.0,7161.0,
75,California State University-Fullerton,38909.0,17817.0,4526.0,95.0,34.0,450.0,550.0,470.0,580.0,,,19.0,24.0,38325.0,29023.0,9302.0,33116.0,26682.0,6434.0,4667.0,4512.0,155.0,5209.0,2341.0,2868.0,0.0,46.0,25.0,4858.0,6120.0,6195.0,6186.0,23505.0,34665.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,Suburb: Large,Master's Colleges and Universities (larger programs),38325.0,29023.0,9302.0,33116.0,5209.0,26682.0,6434.0,0.0,21.0,2.0,35.0,0.0,27.0,4.0,5.0,6.0,21.0,56.0,0.0,22.0,2.0,37.0,0.0,25.0,4.0,4.0,5.0,22.0,55.0,0.0,18.0,3.0,22.0,0.0,34.0,3.0,7.0,13.0,18.0,60.0,4482.0,96.0,46.0,1.0,139.0,3.0,0.0,0.0,14.0,40.0,53.0,66.0,51.0,41.0,41.0,2.0,42.0,33.0,35.0,35.0,2.0,1476.0,
76,California State University-East Bay,12741.0,8756.0,1572.0,91.0,32.0,400.0,500.0,400.0,520.0,,,16.0,22.0,14546.0,11748.0,2798.0,12081.0,10503.0,1578.0,1501.0,1466.0,35.0,2465.0,1245.0,1220.0,0.0,69.0,18.0,5091.0,6414.0,6309.0,6550.0,22312.0,33472.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,City: Midsize,Master's Colleges and Universities (larger programs),14526.0,11733.0,2793.0,12146.0,2380.0,10546.0,1600.0,0.0,23.0,10.0,23.0,1.0,20.0,5.0,8.0,9.0,24.0,61.0,0.0,24.0,11.0,25.0,1.0,18.0,6.0,8.0,7.0,25.0,61.0,0.0,16.0,8.0,12.0,1.0,28.0,3.0,13.0,19.0,17.0,62.0,1424.0,94.0,20.0,1.0,68.0,4.0,0.0,0.0,11.0,30.0,38.0,75.0,62.0,54.0,54.0,23.0,48.0,42.0,48.0,48.0,1.0,825.0,
77,California State University-Long Beach,55019.0,16956.0,4276.0,95.0,33.0,440.0,550.0,460.0,590.0,,,18.0,24.0,35586.0,28459.0,7127.0,30474.0,25755.0,4719.0,4341.0,4117.0,224.0,5112.0,2704.0,2408.0,0.0,31.0,25.0,4810.0,6240.0,6052.0,6240.0,22106.0,33266.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,City: Large,Master's Colleges and Universities (larger programs),35586.0,28440.0,7146.0,30593.0,4993.0,25815.0,4778.0,1.0,22.0,4.0,35.0,0.0,22.0,4.0,5.0,6.0,22.0,57.0,1.0,23.0,4.0,37.0,0.0,21.0,4.0,4.0,6.0,23.0,57.0,1.0,17.0,5.0,25.0,1.0,29.0,3.0,9.0,10.0,18.0,61.0,4071.0,94.0,53.0,1.0,219.0,5.0,0.0,0.0,14.0,43.0,60.0,71.0,58.0,49.0,49.0,3.0,46.0,40.0,36.0,36.0,1.0,1788.0,
78,California State University-Los Angeles,27321.0,18448.0,2908.0,95.0,32.0,380.0,480.0,390.0,510.0,,,15.0,20.0,23250.0,18129.0,5121.0,19577.0,16282.0,3295.0,3015.0,2885.0,130.0,3673.0,1847.0,1826.0,0.0,68.0,16.0,4848.0,6095.0,6101.0,6344.0,21705.0,32865.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,City: Large,Master's Colleges and Universities (larger programs),23258.0,18104.0,5154.0,19589.0,3669.0,16280.0,3309.0,0.0,16.0,5.0,56.0,0.0,10.0,2.0,5.0,6.0,16.0,59.0,0.0,16.0,5.0,60.0,0.0,8.0,2.0,4.0,5.0,17.0,59.0,0.0,14.0,5.0,36.0,1.0,20.0,3.0,9.0,12.0,15.0,62.0,2797.0,93.0,15.0,0.0,209.0,7.0,0.0,0.0,7.0,22.0,36.0,82.0,76.0,72.0,72.0,5.0,47.0,57.0,32.0,32.0,1.0,989.0,
79,California State University-Northridge,29339.0,13566.0,4149.0,91.0,25.0,400.0,510.0,400.0,530.0,,,16.0,22.0,38310.0,30423.0,7887.0,33771.0,28200.0,5571.0,5818.0,5760.0,58.0,4539.0,2223.0,2316.0,0.0,46.0,31.0,5076.0,6488.0,6296.0,6525.0,21669.0,32829.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,City: Large,Master's Colleges and Universities (larger programs),38310.0,30423.0,7887.0,33771.0,4539.0,28200.0,5571.0,0.0,11.0,6.0,38.0,0.0,27.0,3.0,6.0,8.0,11.0,56.0,0.0,11.0,6.0,40.0,0.0,26.0,3.0,6.0,7.0,11.0,55.0,0.0,9.0,4.0,22.0,0.0,39.0,3.0,13.0,11.0,9.0,63.0,5555.0,95.0,39.0,1.0,224.0,4.0,0.0,0.0,13.0,35.0,46.0,74.0,64.0,59.0,58.0,12.0,43.0,53.0,36.0,36.0,1.0,2387.0,
80,California State University-Sacramento,19702.0,13728.0,3151.0,92.0,34.0,410.0,520.0,430.0,540.0,,,17.0,22.0,28750.0,22744.0,6006.0,25957.0,21038.0,4919.0,3371.0,3193.0,178.0,2793.0,1706.0,1087.0,0.0,70.0,23.0,5195.0,6573.0,6620.0,6628.0,23209.0,34369.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,City: Large,Master's Colleges and Universities (larger programs),28811.0,22735.0,6076.0,26094.0,2717.0,21094.0,5000.0,0.0,20.0,6.0,25.0,1.0,33.0,6.0,7.0,2.0,21.0,57.0,0.0,21.0,6.0,26.0,1.0,32.0,6.0,6.0,2.0,22.0,57.0,1.0,11.0,4.0,17.0,0.0,44.0,4.0,12.0,7.0,12.0,65.0,3322.0,99.0,32.0,1.0,12.0,0.0,0.0,0.0,8.0,30.0,43.0,79.0,65.0,56.0,56.0,2.0,54.0,48.0,39.0,38.0,1.0,1303.0,
81,University of California-Berkeley,61717.0,11108.0,4162.0,91.0,40.0,590.0,720.0,630.0,770.0,620.0,750.0,27.0,33.0,36103.0,34578.0,1525.0,25819.0,25044.0,775.0,4455.0,4415.0,40.0,10284.0,9534.0,750.0,0.0,18.0,37.0,10940.0,12834.0,12874.0,12864.0,33319.0,56197.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,City: Midsize,Research Universities (very high research activity),36198.0,34675.0,1523.0,25951.0,10247.0,25220.0,731.0,0.0,30.0,2.0,12.0,0.0,31.0,4.0,5.0,15.0,30.0,50.0,0.0,35.0,2.0,13.0,0.0,29.0,5.0,3.0,13.0,35.0,52.0,1.0,16.0,3.0,8.0,0.0,38.0,2.0,11.0,21.0,16.0,45.0,,,,,,,,,72.0,89.0,91.0,69.0,60.0,27.0,27.0,15.0,25.0,58.0,30.0,29.0,1.0,36917.0,
82,University of California-Davis,49820.0,22526.0,5208.0,93.0,45.0,510.0,640.0,560.0,680.0,530.0,650.0,23.0,29.0,32165.0,30870.0,1295.0,25515.0,24855.0,660.0,4900.0,4855.0,45.0,6650.0,6015.0,635.0,0.0,45.0,23.0,11958.0,13860.0,13877.0,13895.0,33066.0,55944.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,Suburb: Small,Research Universities (very high research activity),33307.0,31986.0,1321.0,26533.0,6774.0,25826.0,707.0,0.0,31.0,2.0,16.0,0.0,34.0,5.0,3.0,9.0,32.0,55.0,0.0,35.0,2.0,17.0,0.0,31.0,5.0,2.0,6.0,36.0,56.0,1.0,15.0,2.0,9.0,0.0,47.0,3.0,7.0,18.0,15.0,51.0,,,,,,,,,51.0,77.0,81.0,77.0,68.0,37.0,37.0,0.0,38.0,67.0,45.0,44.0,2.0,7855.0,
83,University of California-Irvine,56515.0,23956.0,5077.0,95.0,41.0,460.0,600.0,530.0,670.0,490.0,620.0,21.0,27.0,28895.0,27925.0,970.0,23530.0,23117.0,413.0,5460.0,5449.0,11.0,5365.0,4808.0,557.0,0.0,42.0,21.0,11232.0,13122.0,13122.0,13149.0,30504.0,53382.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,City: Midsize,Research Universities (very high research activity),28895.0,28046.0,849.0,23530.0,5365.0,23127.0,403.0,0.0,39.0,2.0,19.0,0.0,21.0,4.0,3.0,11.0,39.0,52.0,0.0,44.0,2.0,22.0,0.0,17.0,4.0,2.0,9.0,44.0,54.0,0.0,17.0,2.0,10.0,0.0,37.0,3.0,9.0,22.0,17.0,43.0,,,,,,,,,68.0,84.0,86.0,77.0,71.0,48.0,48.0,26.0,49.0,65.0,46.0,46.0,7.0,8945.0,
84,University of California-Los Angeles,72676.0,15981.0,5620.0,91.0,41.0,560.0,680.0,600.0,760.0,590.0,710.0,25.0,31.0,41200.0,40300.0,900.0,29000.0,28500.0,500.0,5710.0,5700.0,10.0,12200.0,11800.0,400.0,0.0,22.0,35.0,10781.0,12686.0,12692.0,12697.0,32416.0,55294.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,City: Large,Research Universities (very high research activity),40795.0,39794.0,1001.0,28674.0,12121.0,28084.0,590.0,0.0,28.0,3.0,16.0,0.0,32.0,4.0,3.0,14.0,28.0,53.0,0.0,31.0,3.0,18.0,0.0,29.0,5.0,2.0,12.0,31.0,55.0,0.0,20.0,3.0,10.0,0.0,39.0,3.0,5.0,21.0,20.0,46.0,,,,,,,,,69.0,88.0,90.0,62.0,54.0,31.0,31.0,7.0,30.0,51.0,34.0,34.0,1.0,34375.0,
85,University of California-Riverside,30391.0,18843.0,4034.0,96.0,40.0,470.0,580.0,500.0,630.0,480.0,590.0,20.0,25.0,21297.0,20849.0,448.0,18621.0,18205.0,416.0,4201.0,4185.0,16.0,2676.0,2644.0,32.0,0.0,62.0,21.0,11029.0,12924.0,12960.0,12960.0,32238.0,55116.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,City: Large,Research Universities (very high research activity),21207.0,20653.0,554.0,18621.0,2586.0,18205.0,416.0,0.0,33.0,5.0,33.0,0.0,17.0,3.0,2.0,7.0,33.0,50.0,0.0,36.0,5.0,36.0,0.0,14.0,4.0,1.0,3.0,37.0,51.0,0.0,11.0,3.0,11.0,0.0,36.0,2.0,5.0,31.0,11.0,45.0,,,,,,,,,41.0,62.0,66.0,86.0,80.0,56.0,56.0,3.0,54.0,76.0,56.0,56.0,1.0,5387.0,
86,University of California-San Diego,60832.0,22812.0,4575.0,93.0,39.0,550.0,660.0,620.0,730.0,580.0,690.0,25.0,31.0,28398.0,27480.0,918.0,23558.0,22855.0,703.0,5268.0,5262.0,6.0,4840.0,4625.0,215.0,0.0,38.0,20.0,11306.0,13200.0,13217.0,13271.0,30470.0,53348.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,City: Large,Research Universities (very high research activity),29517.0,28606.0,911.0,23805.0,5712.0,23152.0,653.0,0.0,35.0,1.0,14.0,0.0,27.0,4.0,3.0,14.0,36.0,47.0,0.0,40.0,1.0,16.0,0.0,24.0,5.0,2.0,12.0,41.0,48.0,0.0,16.0,2.0,8.0,0.0,40.0,3.0,6.0,25.0,16.0,39.0,,,,,,,,,56.0,81.0,86.0,62.0,54.0,30.0,30.0,1.0,30.0,51.0,41.0,40.0,9.0,15714.0,
87,University of California-Santa Barbara,55258.0,24556.0,4741.0,93.0,47.0,530.0,650.0,560.0,690.0,550.0,660.0,24.0,29.0,21956.0,21683.0,273.0,19111.0,18845.0,266.0,4610.0,4583.0,27.0,2845.0,2838.0,7.0,0.0,44.0,19.0,11686.0,13595.0,13671.0,13746.0,34051.0,56929.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,Suburb: Midsize,Research Universities (very high research activity),22225.0,21771.0,454.0,19362.0,2863.0,19076.0,286.0,0.0,16.0,2.0,23.0,0.0,41.0,7.0,4.0,6.0,16.0,51.0,0.0,18.0,2.0,25.0,0.0,40.0,8.0,3.0,4.0,18.0,52.0,0.0,8.0,1.0,8.0,0.0,50.0,1.0,10.0,21.0,8.0,44.0,,,,,,,,,68.0,79.0,81.0,70.0,63.0,41.0,41.0,0.0,41.0,62.0,47.0,46.0,2.0,5527.0,
88,University of California-Santa Cruz,33137.0,19851.0,3827.0,92.0,43.0,470.0,610.0,490.0,620.0,470.0,610.0,20.0,26.0,17040.0,16580.0,460.0,15535.0,15135.0,400.0,3300.0,3290.0,10.0,1505.0,1445.0,60.0,0.0,60.0,19.0,11505.0,13416.0,13416.0,13397.0,33153.0,56031.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,City: Small,Research Universities (very high research activity),17203.0,16755.0,448.0,15695.0,1508.0,15323.0,372.0,0.0,19.0,2.0,29.0,0.0,38.0,7.0,3.0,2.0,20.0,53.0,0.0,20.0,2.0,30.0,0.0,37.0,7.0,2.0,1.0,21.0,53.0,0.0,9.0,2.0,11.0,0.0,51.0,4.0,6.0,15.0,9.0,46.0,,,,,,,,,50.0,69.0,73.0,80.0,72.0,51.0,51.0,1.0,51.0,71.0,62.0,62.0,1.0,3473.0,
89,California Maritime Academy,893.0,668.0,198.0,86.0,46.0,470.0,580.0,490.0,610.0,,,21.0,26.0,1043.0,999.0,44.0,1043.0,999.0,44.0,204.0,201.0,3.0,0.0,0.0,0.0,0.0,75.0,30.0,5294.0,6536.0,6536.0,6536.0,21102.0,32262.0,California,California,Far West AK CA HI NV OR WA,"Public, 4-year or above",Four or more years,Public,No,No,City: Midsize,Baccalaureate Colleges--Diverse Fields,1045.0,1008.0,37.0,1045.0,0.0,1008.0,37.0,0.0,8.0,2.0,16.0,1.0,58.0,9.0,6.0,1.0,9.0,14.0,0.0,8.0,2.0,16.0,1.0,58.0,9.0,6.0,1.0,9.0,14.0,,,,,,,,,,,,167.0,83.0,35.0,17.0,0.0,0.0,0.0,0.0,43.0,57.0,59.0,68.0,43.0,26.0,26.0,5.0,24.0,27.0,60.0,60.0,3.0,4413.0,
